The following base tokens are supported:

Symbol          Address                                            Decimals        Program        
IO              BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K       8               2020           
RAPR            RAPRz9fd87y9qcBGj1VVqUbbUM6DaBggSDA58zc3N2b        9               2022           
7STAR           FDRBwha8GtiR55BPz6Ucc9ThRtjFynZqgX1UvbV72bB8       7               2020           
SRM             SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt        6               2020           
PURPE           HBoNJ5v8g71s2boRivrHnfSB5MVPLDHHyVjruPfhGkvL       1               2020           
21BTC           21BTCo9hWHjGYYUQQLqjLgDBxjcn8vDt4Zic7TB3UbNE       8               2020           
TBTC            6DNSN2BJsaPFdFFc1zP37kkeNe4Usc1Sqkzr9C9vPWcU       8               2020           
BUSD_W          5RpUwQ8wtdPCZHhu6MERp2RGrpobsbZ6MH5dDHkUjs2        8               2020           
DAI_W           EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o       8               2020           
USDT_W          Dn4noZ5jgGfkntzcQSUZ8czkreiZ1ForXYoV2H8Dm7S1       6               2020           
USDC_W          A9mUU4qviSctJVPJdBJWkb28deg915LYJKrzQ19ji3FM       6               2020           
PAI             Ea5SjE2Y6yvCeW5dYTn7PYMuW5ikXkvbGdcmSnXeaLjS       6               2020           
SHIB_W          CiKu4eHsVrc1eueVQeHn7qhXTcVu95gSQmBpX4utjL9z       8               2020           
UXD             7kbnvuGBxxj8AG9qp8Scn56muWGaRaFqxg1FsRp3PaFT       6               2020           
SUSDC9          JEFFSQ3s8T3wKsvp4tnRAsUBW7Cqgnf8ukBZC4C8XBm1       9               2020           
SUSDC8          88881Hu2jGMfCs9tMu5Rr7Ah7WBNBuXqde4nR5ZmKYYy       8               2020           
FUSDC           Ez2zVjw85tZan1ycnJ5PywNNxR6Gm4jbXQtZKyQNu3Lv       6               2020           
WBTC_S          9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E       6               2020           
FTT_S           AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3       6               2020           
WETH_S          2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk       6               2020           
WETH_SABER      KNVfdSJyq1pRQk9AKKv1g5uyGuk6wpm4WG16Bjuwdma        9               2020           
HUBSOL          HUBsveNpjo5pWqNkH57QzxjQASdTVXcSK7bVKTSZtcSX       9               2020           
BONKSOL         BonK1YhkXEGLZzwtcvRTip3gAL9nCeQD7ppZBLXhtTs        9               2020           
JUCYSOL         jucy5XJ76pHVvtPZb5TKRcGQExkwit2P5s4vY8UzmpC        9               2020           
PICOSOL         picobAEvs6w7QEknPce34wAE4gknZA9v5tTonnmHYdX        9               2020           
PWRSOL          pWrSoLAhue6jUxUkbWgmEy5rD9VJzkFmvfTDV5KgNuu        9               2020           
VSOL            vSoLxydx6akxyMD9XEcPvGYNGq6Nn66oqVb3UkGkei7        9               2020           
JUPSOL          jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v        9               2020           
CSOL            Comp4ssDzXcLeu2MnLuGNNFC4cmLPMng8qWHPvzAMU1h       9               2020           
STRONGSOL       strng7mqqc1MBJJV6vMzYbEqnwVGvKKGKedeCvtktWA        9               2020           
CLOUD           CLoUDKc4Ane7HeQcPpE3YHnznRxhMimJ4MyaUqyHFzAu       9               2020           
LOCKEDBONK      FYUjeMAFjbTzdMG91RSW5P4HT2sT7qzJQgDPiPG9ez9o       4               2020           
